;set_id;name;year;theme;subtheme;themeGroup;category;pieces;minifigs;agerange_min;US_retailPrice;bricksetURL;thumbnailURL;imageURL
7715;LIJPS3-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/PS3;Miscellaneous;Gear;;;;49.99;https://brickset.com/sets/LIJPS3-1;https://images.brickset.com/sets/small/LIJPS3-1.jpg;https://images.brickset.com/sets/images/LIJPS3-1.jpg
7716;LIJPSP-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/PSP;Miscellaneous;Gear;;;;39.99;https://brickset.com/sets/LIJPSP-1;https://images.brickset.com/sets/small/LIJPSP-1.jpg;https://images.brickset.com/sets/images/LIJPSP-1.jpg
7717;LIJWII-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/Wii;Miscellaneous;Gear;;;;49.99;https://brickset.com/sets/LIJWII-1;https://images.brickset.com/sets/small/LIJWII-1.jpg;https://images.brickset.com/sets/images/LIJWII-1.jpg
7718;LIJXB360-1;LEGO Indiana Jones: The Original Adventures;2008;Gear;Video Games/Xbox 360;Miscellaneous;Gear;;;;49.99;https://brickset.com/sets/LIJXB360-1;https://images.brickset.com/sets/small/LIJXB360-1.jpg;https://images.brickset.com/sets/images/LIJXB360-1.jpg
7719;MMMB001-1;Snowman;2008;Promotional;Monthly Mini Model Build;Miscellaneous;Other;;;;;https://brickset.com/sets/MMMB001-1;https://images.brickset.com/sets/small/MMMB001-1.jpg;https://images.brickset.com/sets/images/MMMB001-1.jpg
7720;MS1048-1;RF ID Sensor;2008;Mindstorms;NXT;Technical;Other;3.0;;;;https://brickset.com/sets/MS1048-1;https://images.brickset.com/sets/small/MS1048-1.jpg;https://images.brickset.com/sets/images/MS1048-1.jpg
7721;MS1049-1;Keyfob Transponder;2008;Mindstorms;NXT;Technical;Other;10.0;;;;https://brickset.com/sets/MS1049-1;https://images.brickset.com/sets/small/MS1049-1.jpg;https://images.brickset.com/sets/images/MS1049-1.jpg
7722;P2064-1;SpongeBob Pen Set;2008;Gear;Pens;Miscellaneous;Gear;;;;9.99;https://brickset.com/sets/P2064-1;https://images.brickset.com/sets/small/P2064-1.jpg;https://images.brickset.com/sets/images/P2064-1.jpg
7723;PROMOSW005-1;Han Solo / Indiana Jones Transformation ;2008;Promotional;Miscellaneous;Miscellaneous;Other;64.0;2.0;;;https://brickset.com/sets/PROMOSW005-1;https://images.brickset.com/sets/small/PROMOSW005-1.jpg;https://images.brickset.com/sets/images/PROMOSW005-1.jpg
7724;RAMBOLL-1;Ramboll Oil Platform;2008;Promotional;Miscellaneous;Miscellaneous;Other;216.0;;;;https://brickset.com/sets/RAMBOLL-1;https://images.brickset.com/sets/small/RAMBOLL-1.jpg;https://images.brickset.com/sets/images/RAMBOLL-1.jpg
7725;SACRAMENTO-1;Steam Engine;2008;Promotional;LEGO brand store opening set;Miscellaneous;Other;78.0;;;;https://brickset.com/sets/SACRAMENTO-1;https://images.brickset.com/sets/small/SACRAMENTO-1.jpg;https://images.brickset.com/sets/images/SACRAMENTO-1.jpg
7726;TS65-1;Stars Wars Action Lineup T-Shirt;2008;Gear;Clothing;Miscellaneous;Gear;;;;14.99;https://brickset.com/sets/TS65-1;https://images.brickset.com/sets/small/TS65-1.jpg;https://images.brickset.com/sets/images/TS65-1.jpg
7727;TS66-1;Lego Batman Roof Top T-shirt;2008;Gear;Clothing;Miscellaneous;Gear;;;;14.99;https://brickset.com/sets/TS66-1;https://images.brickset.com/sets/small/TS66-1.jpg;https://images.brickset.com/sets/images/TS66-1.jpg
7728;TS67-1;LEGO Club Lime Green T-shirt;2008;Gear;Clothing;Miscellaneous;Gear;;;;14.99;https://brickset.com/sets/TS67-1;https://images.brickset.com/sets/small/TS67-1.jpg;https://images.brickset.com/sets/images/TS67-1.jpg
7729;2009-1;Heart;2009;Miscellaneous;Employee gift;Miscellaneous;Normal;92.0;;7.0;;https://brickset.com/sets/2009-1;https://images.brickset.com/sets/small/2009-1.jpg;https://images.brickset.com/sets/images/2009-1.jpg
7730;3592-1;Knights' Kingdom Board Game;2009;Games;;Miscellaneous;Normal;;;;;https://brickset.com/sets/3592-1;;
7731;3594-1;Bob's Workshop;2009;Duplo;Bob the Builder;Pre-school;Normal;14.0;2.0;2.0;14.99;https://brickset.com/sets/3594-1;https://images.brickset.com/sets/small/3594-1.jpg;https://images.brickset.com/sets/images/3594-1.jpg
7732;3595-1;Scoop at Bobland Bay;2009;Duplo;Bob the Builder;Pre-school;Normal;28.0;1.0;2.0;19.99;https://brickset.com/sets/3595-1;https://images.brickset.com/sets/small/3595-1.jpg;https://images.brickset.com/sets/images/3595-1.jpg
7733;3596-1;Muck Can Do It;2009;Duplo;Bob the Builder;Pre-school;Normal;39.0;1.0;2.0;29.99;https://brickset.com/sets/3596-1;https://images.brickset.com/sets/small/3596-1.jpg;https://images.brickset.com/sets/images/3596-1.jpg
7734;3597-1;Lofty and Dizzy Hard At Work;2009;Duplo;Bob the Builder;Pre-school;Normal;51.0;3.0;2.0;39.99;https://brickset.com/sets/3597-1;https://images.brickset.com/sets/small/3597-1.jpg;https://images.brickset.com/sets/images/3597-1.jpg
